"Data e Hora","Chuva (mm) - Último","Chuva (mm) - 1h","Chuva (mm) - 4h","Chuva (mm) - 24h","Chuva (mm) - 96h","Chuva (mm) - 30d","Nível do rio (m) - Último"
"31/10/2024 07:30","0.0","0.0","0.0","0.6","34.8","43.2","1.51"
"31/10/2024 07:15","0.0","0.0","0.0","0.6","34.8","43.2","1.51"
"31/10/2024 07:00","0.0","0.0","0.0","0.6","34.8","43.2","1.52"
"31/10/2024 06:45","0.0","0.0","0.0","0.6","34.8","43.2","1.53"
"31/10/2024 06:30","0.0","0.0","0.0","0.6","34.8","43.2","1.54"
"31/10/2024 06:15","0.0","0.0","0.0","0.6","34.8","43.2","1.56"
"31/10/2024 06:00","0.0","0.0","0.0","0.6","34.8","43.2","1.57"
"31/10/2024 05:45","0.0","0.0","0.0","0.6","34.8","43.2","1.57"
"31/10/2024 05:30","0.0","0.0","0.0","0.6","34.8","43.2","1.57"
"31/10/2024 05:15","0.0","0.0","0.0","0.6","34.8","43.2","1.57"
"31/10/2024 05:00","0.0","0.0","0.0","0.6","34.8","43.2","1.57"
"31/10/2024 04:45","0.0","0.0","0.0","0.6","34.8","43.2","1.57"
"31/10/2024 04:30","0.0","0.0","0.0","0.8","34.8","43.2","1.57"
"31/10/2024 04:15","0.0","0.0","0.0","1.2","34.8","43.2","1.57"
"31/10/2024 04:00","Dado Nulo","0.0","0.0","1.6","34.8","43.2","Dado Nulo"
"31/10/2024 03:45","0.0","0.0","0.0","1.8","34.8","43.2","1.57"
"31/10/2024 03:30","0.0","0.0","0.0","2.0","34.8","43.2","1.57"
"31/10/2024 03:15","0.0","0.0","0.0","2.0","34.8","43.2","1.57"
"31/10/2024 03:00","0.0","0.0","0.0","2.0","34.8","43.2","1.57"
"31/10/2024 02:45","0.0","0.0","0.0","2.2","34.8","43.2","1.57"
"31/10/2024 02:30","0.0","0.0","0.0","2.2","34.8","43.2","1.57"
"31/10/2024 02:15","0.0","0.0","0.0","2.4","34.8","43.2","1.57"
"31/10/2024 02:00","0.0","0.0","0.0","3.0","34.8","43.2","1.57"
"31/10/2024 01:45","0.0","0.0","0.0","3.2","34.8","43.2","1.57"
"31/10/2024 01:30","Dado Nulo","0.0","0.0","3.2","34.8","43.2","Dado Nulo"
"31/10/2024 01:15","Dado Nulo","0.0","0.0","3.2","34.8","43.2","Dado Nulo"
"31/10/2024 01:00","0.0","0.0","0.0","3.4","34.8","43.2","1.57"
"31/10/2024 00:45","0.0","0.0","0.0","3.4","34.8","43.2","1.57"
"31/10/2024 00:30","0.0","0.0","0.0","3.4","34.8","43.2","1.57"
"31/10/2024 00:15","0.0","0.0","0.0","3.6","35.0","43.2","1.57"
